Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Status Category,Status Category Changed
add test on dashboard,SCRUM-22,10021,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,05/Feb/25 7:39 PM,05/Feb/25 9:01 PM,06/Feb/25 8:48 AM,05/Feb/25 9:01 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-02-05T21:00:50.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":false}}",,,,,,,,,,,0|i00006:ti,,,SCRUM Sprint 3,,,,,,,,,,,,10000_*:*_1_*:*_4899052_*|*_10002_*:*_1_*:*_0,,Done,05/Feb/25 9:01 PM
add exit-to-landingpage,SCRUM-21,10020,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,05/Feb/25 6:07 PM,05/Feb/25 6:39 PM,05/Feb/25 6:44 PM,05/Feb/25 6:39 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-02-05T18:38:03.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00006:u,,,SCRUM Sprint 3,,,,,,,,,,,,10000_*:*_1_*:*_1914990_*|*_10002_*:*_1_*:*_0,,Done,05/Feb/25 6:39 PM
task-create-modal,SCRUM-20,10019,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,05/Feb/25 2:27 PM,05/Feb/25 6:05 PM,,05/Feb/25 6:05 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-02-05T18:03:13.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00006:t,,,SCRUM Sprint 3,,,,,,,,,,,,10000_*:*_1_*:*_13069660_*|*_10002_*:*_1_*:*_0,,Done,05/Feb/25 6:05 PM
add-dashboard-field,SCRUM-19,10018,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,30/Jan/25 4:00 PM,30/Jan/25 5:53 PM,,30/Jan/25 5:35 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-01-30T17:32:48.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00006:v,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,10000_*:*_1_*:*_5713726_*|*_10002_*:*_1_*:*_0,,Done,30/Jan/25 5:35 PM
create-rightsidebar-component,SCRUM-18,10017,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,28/Jan/25 7:52 PM,30/Jan/25 5:53 PM,,30/Jan/25 3:52 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-01-30T15:49:38.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00006:o,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,10000_*:*_1_*:*_158400943_*|*_10002_*:*_1_*:*_0,,Done,30/Jan/25 3:52 PM
add link to dashboard,SCRUM-17,10016,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,24/Jan/25 1:08 PM,30/Jan/25 5:53 PM,24/Jan/25 2:17 PM,24/Jan/25 2:17 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-01-24T14:16:04.000+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00006:r,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,10000_*:*_1_*:*_4107766_*|*_10002_*:*_1_*:*_0,,Done,24/Jan/25 2:17 PM
Implement edit task functionality,SCRUM-16,10015,Task,To Do,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,22/Jan/25 10:46 PM,30/Jan/25 5:53 PM,22/Jan/25 11:40 PM,,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,{},,,,,,,,,,,0|i0002n:,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,,,To Do,22/Jan/25 10:46 PM
delete task,SCRUM-15,10014,Task,To Do,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,22/Jan/25 10:46 PM,30/Jan/25 5:53 PM,,,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,{},,,,,,,,,,,0|i0002f:,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,,,To Do,22/Jan/25 10:46 PM
implement task creation,SCRUM-14,10013,Task,To Do,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,22/Jan/25 10:46 PM,30/Jan/25 5:53 PM,,,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,{},,,,,,,,,,,0|i00027:,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,,,To Do,22/Jan/25 10:46 PM
add task modal,SCRUM-13,10012,Task,In Progress,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,22/Jan/25 10:45 PM,05/Feb/25 9:01 PM,,,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,{},,,,,,,,,,,0|i0001z:,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,,,In Progress,05/Feb/25 9:01 PM
